41821,41824 41823 41826 41827 41822
38939,16372 37819 16378 16380
43597,42753 37825 42756 42754 37826
38940,37820 16388 37821 16374 16389
38941,16370 16369 30899 16371 37822
38942,37824 16366 16367 35752 21161
38943,16407 33514 16408 38031 21516
41019,41271 41275 41270 41274 41273
38945,37828 33519 33517 33518 33516
41132,41022 41024 41021 41023 41020
38947,16416 23851 37829 37830 16412
38946,16404 16405 37833 16420 33071
46901,46902 48089 48088 48087 46904
47387,47388 47390 47392
